lake,date,month,day,year,time,tow,proc_date,id,total_vol,subsample_vol,subsample,family,number
SB,2017-05-18,5,18,2017,Night,1,6/1/2017,Ishita,100,1,2,Bosminidae,1
SB,2017-05-18,5,18,2017,Night,2,6/1/2017,Ishita,100,1,3,Bosminidae,1
SB,2017-05-18,5,18,2017,Night,3,6/1/2017,Matt,100,1,3,Bosminidae,1
SB,2017-05-18,5,18,2017,Night,1,6/1/2017,Ishita,100,1,1,Bosminidae,2
SB,2017-05-18,5,18,2017,Night,2,6/1/2017,Ishita,100,1,1,Bosminidae,2
SB,2017-05-18,5,18,2017,Night,2,6/1/2017,Ishita,100,1,2,Bosminidae,2
SB,2017-05-18,5,18,2017,Night,3,6/1/2017,Matt,100,1,2,Bosminidae,2
SB,2017-05-18,5,18,2017,Night,1,6/1/2017,Ishita,100,1,3,Bosminidae,3
MCD,2017-05-18,5,18,2017,Night,3,5/30/2017,Ishita,100,1,1,Bosminidae,13
MCD,2017-05-18,5,18,2017,Night,2,5/30/2017,Matt,100,1,3,Bosminidae,34
MCD,2017-05-18,5,18,2017,Night,3,5/30/2017,Ishita,100,1,2,Bosminidae,35
MCD,2017-05-18,5,18,2017,Night,2,5/30/2017,Matt,100,1,1,Bosminidae,40
MCD,2017-05-18,5,18,2017,Night,3,5/30/2017,Ishita,100,1,3,Bosminidae,45
MCD,2017-05-18,5,18,2017,Night,2,5/30/2017,Matt,100,1,2,Bosminidae,52
MCD,2017-05-18,5,18,2017,Night,1,5/30/2017,Ishita,100,1,1,Bosminidae,55
MCD,2017-05-18,5,18,2017,Night,1,5/30/2017,Ishita,100,1,3,Bosminidae,58
MCD,2017-05-18,5,18,2017,Night,1,5/30/2017,Ishita,100,1,2,Bosminidae,69
SB,2017-05-23,5,23,2017,Night,3,6/8/2017,Matt,100,1,1,Bosminidae,1
SB,2017-05-23,5,23,2017,Night,3,6/8/2017,Matt,100,1,2,Bosminidae,2
SB,2017-05-23,5,23,2017,Night,3,6/8/2017,Matt,100,1,3,Bosminidae,2
SB,2017-05-23,5,23,2017,Night,2,6/8/2017,Matt,100,1,1,Bosminidae,4
SB,2017-05-23,5,23,2017,Night,2,6/8/2017,Matt,100,1,2,Bosminidae,4
SB,2017-05-23,5,23,2017,Night,2,6/8/2017,Matt,100,1,3,Bosminidae,4
SB,2017-05-23,5,23,2017,Night,1,6/7/2017,Matt,100,1,3,Bosminidae,5
MCD,2017-05-23,5,23,2017,Night,1,6/9/2017,Matt,100,1,3,Bosminidae,6
MCD,2017-05-23,5,23,2017,Night,3,6/9/2017,Matt,100,1,3,Bosminidae,8
MCD,2017-05-23,5,23,2017,Night,2,6/9/2017,Matt,100,1,3,Bosminidae,12
MCD,2017-05-23,5,23,2017,Night,1,6/9/2017,Matt,100,1,2,Bosminidae,13
MCD,2017-05-23,5,23,2017,Night,3,6/9/2017,Matt,100,1,2,Bosminidae,14
MCD,2017-05-23,5,23,2017,Night,1,6/9/2017,Matt,100,1,1,Bosminidae,15
MCD,2017-05-23,5,23,2017,Night,2,6/9/2017,Matt,100,1,1,Bosminidae,19
MCD,2017-05-23,5,23,2017,Night,3,6/9/2017,Matt,100,1,1,Bosminidae,19
MCD,2017-05-23,5,23,2017,Night,2,6/9/2017,Matt,100,1,2,Bosminidae,27
MCD,2017-05-25,5,25,2017,Day,1,6/6/2017,Ishita,100,1,1,Bosminidae,1
MCD,2017-05-25,5,25,2017,Day,2,6/8/2017,Ishita,100,1,1,Bosminidae,1
MCD,2017-05-25,5,25,2017,Day,2,6/8/2017,Ishita,100,1,2,Bosminidae,1
MCD,2017-05-25,5,25,2017,Day,2,6/8/2017,Ishita,100,1,3,Bosminidae,1
SB,2017-05-25,5,25,2017,Day,3,6/8/2017,Ishita,100,1,1,Bosminidae,1
MCD,2017-05-25,5,25,2017,Day,3,6/8/2017,Ishita,100,1,2,Bosminidae,2
MCD,2017-05-25,5,25,2017,Day,3,6/8/2017,Ishita,100,1,1,Bosminidae,4
MCD,2017-05-25,5,25,2017,Day,3,6/8/2017,Ishita,100,1,3,Bosminidae,4
MCD,2017-05-25,5,25,2017,Day,1,6/6/2017,Ishita,100,1,2,Bosminidae,7
MCD,2017-05-25,5,25,2017,Day,1,6/6/2017,Ishita,100,1,3,Bosminidae,9
MCD,2017-05-30,5,30,2017,Night,3,6/15/2017,Ishita,100,1,1,Bosminidae,1
SB,2017-05-30,5,30,2017,Night,1,6/9/2017,Ishita,100,1,1,Bosminidae,1
SB,2017-05-30,5,30,2017,Night,2,6/9/2017,Ishita,100,1,1,Bosminidae,1
SB,2017-05-30,5,30,2017,Night,2,6/9/2017,Ishita,100,1,2,Bosminidae,1
MCD,2017-05-30,5,30,2017,Night,3,6/15/2017,Ishita,100,1,2,Bosminidae,2
MCD,2017-05-30,5,30,2017,Night,3,6/15/2017,Ishita,100,1,3,Bosminidae,2
MCD,2017-05-30,5,30,2017,Night,2,6/12/2017,Ishita,100,1,3,Bosminidae,3
MCD,2017-05-30,5,30,2017,Night,2,6/12/2017,Ishita,100,1,2,Bosminidae,4
MCD,2017-05-30,5,30,2017,Night,1,6/12/2017,Ishita,100,1,3,Bosminidae,5
MCD,2017-05-30,5,30,2017,Night,1,6/12/2017,Ishita,100,1,2,Bosminidae,6
MCD,2017-05-30,5,30,2017,Night,2,6/12/2017,Ishita,100,1,1,Bosminidae,7
MCD,2017-05-30,5,30,2017,Night,1,6/12/2017,Ishita,100,1,1,Bosminidae,8
SB,2017-06-06,6,6,2017,Night,2,6/12/2017,Matt,100,1,1,Bosminidae,1
SB,2017-06-06,6,6,2017,Night,3,6/12/2017,Matt,100,1,3,Bosminidae,1
MCD,2017-06-06,6,6,2017,Night,1,6/29/2017,Matt,100,1,1,Bosminidae,2
SB,2017-06-06,6,6,2017,Night,1,6/12/2017,Matt,100,1,3,Bosminidae,2
SB,2017-06-06,6,6,2017,Night,1,6/12/2017,Matt,100,1,2,Bosminidae,3
MCD,2017-06-06,6,6,2017,Night,1,6/29/2017,Matt,100,1,3,Bosminidae,4
MCD,2017-06-06,6,6,2017,Night,1,6/29/2017,Matt,100,1,2,Bosminidae,5
MCD,2017-06-06,6,6,2017,Night,2,6/29/2017,Matt,100,1,3,Bosminidae,5
MCD,2017-06-06,6,6,2017,Night,2,6/29/2017,Matt,100,1,1,Bosminidae,9
MCD,2017-06-06,6,6,2017,Night,2,6/29/2017,Matt,100,1,2,Bosminidae,9
MCD,2017-06-06,6,6,2017,Night,3,7/17/2017,Matt,100,1,2,Bosminidae,10
MCD,2017-06-06,6,6,2017,Night,3,7/17/2017,Matt,100,1,3,Bosminidae,11
MCD,2017-06-06,6,6,2017,Night,3,7/17/2017,Matt,100,1,1,Bosminidae,14
MCD,2017-06-07,6,7,2017,Day,1,6/29/2017,Ishita,100,1,1,Bosminidae,1
MCD,2017-06-07,6,7,2017,Day,1,6/29/2017,Ishita,100,1,2,Bosminidae,1
MCD,2017-06-07,6,7,2017,Day,3,6/29/2017,Ishita,100,1,1,Bosminidae,1
MCD,2017-06-07,6,7,2017,Day,1,6/29/2017,Ishita,100,1,3,Bosminidae,2
MCD,2017-06-07,6,7,2017,Day,3,6/29/2017,Ishita,100,1,2,Bosminidae,2
MCD,2017-06-07,6,7,2017,Day,3,6/29/2017,Ishita,100,1,3,Bosminidae,2
MCD,2017-06-07,6,7,2017,Day,2,6/29/2017,Ishita,100,1,1,Bosminidae,3
MCD,2017-06-07,6,7,2017,Day,2,6/29/2017,Ishita,100,1,2,Bosminidae,3
MCD,2017-06-07,6,7,2017,Day,2,6/29/2017,Ishita,100,1,3,Bosminidae,5
MCD,2017-06-12,6,12,2017,Night,1,7/17/2017,Ishita,100,1,1,Bosminidae,1
MCD,2017-06-12,6,12,2017,Night,1,7/17/2017,Ishita,100,1,2,Bosminidae,1
MCD,2017-06-12,6,12,2017,Night,3,7/17/2017,Ishita,100,1,1,Bosminidae,1
SB,2017-06-12,6,12,2017,Night,1,7/9/2017,Ishita,100,1,2,Bosminidae,1
MCD,2017-06-12,6,12,2017,Night,3,7/17/2017,Ishita,100,1,2,Bosminidae,2
MCD,2017-06-12,6,12,2017,Night,3,7/17/2017,Ishita,100,1,3,Bosminidae,2
SB,2017-06-12,6,12,2017,Night,2,7/9/2017,Ishita,100,1,2,Bosminidae,2
MCD,2017-06-12,6,12,2017,Night,1,7/17/2017,Ishita,100,1,3,Bosminidae,3
MCD,2017-06-19,6,19,2017,Night,3,7/27/2017,Ishita,100,1,2,Bosminidae,1
MCD,2017-06-19,6,19,2017,Day,3,11/11/2020,Aly,100,1,1,Bosminidae,1
MCD,2017-06-19,6,19,2017,Night,1,7/26/2017,Ishita,100,1,1,Bosminidae,3
MCD,2017-06-27,6,27,2017,Night,3,7/20/2017,Matt,100,1,2,Bosminidae,1
MCD,2017-06-27,6,27,2017,Night,3,7/20/2017,Matt,100,1,3,Bosminidae,1
MCD,2017-07-03,7,3,2017,Night,2,7/19/2017,Ishita,100,1,1,Bosminidae,1
MCD,2017-07-03,7,3,2017,Night,3,7/21/2017,Ishita,100,1,1,Bosminidae,2
MCD,2017-07-03,7,3,2017,Night,3,7/21/2017,Ishita,100,1,2,Bosminidae,5
MCD,2017-07-03,7,3,2017,Night,3,7/21/2017,Ishita,100,1,3,Bosminidae,6
SB,2017-07-06,7,6,2017,Day,3,11/12/2020,Aly,100,1,2,Bosminidae,2
MCD,2017-08-14,8,14,2017,Day,1,11/12/2020,Aly,100,1,2,Bosminidae,1
MCD,2017-08-14,8,14,2017,Day,3,11/12/2020,Aly,100,1,2,Bosminidae,9
MCD,2018-05-16,5,16,2018,Night,1,10/22/2018,Matt,100,1,1,Bosminidae,1
SB,2018-05-16,5,16,2018,Night,2,11/6/2018,Matt,100,1,1,Bosminidae,1
SB,2018-05-16,5,16,2018,Night,3,11/6/2018,Matt,100,1,2,Bosminidae,2
SB,2018-05-16,5,16,2018,Night,1,9/17/2018,Matt,100,1,2,Bosminidae,3
SB,2018-05-16,5,16,2018,Night,1,9/17/2018,Matt,100,1,3,Bosminidae,3
MCD,2018-05-16,5,16,2018,Night,2,9/24/2018,Matt,100,1,3,Bosminidae,3
MCD,2018-05-16,5,16,2018,Night,1,10/22/2018,Matt,100,1,3,Bosminidae,3
SB,2018-05-16,5,16,2018,Night,3,11/6/2018,Matt,100,1,1,Bosminidae,3
SB,2018-05-16,5,16,2018,Night,2,11/6/2018,Matt,100,1,2,Bosminidae,3
MCD,2018-05-16,5,16,2018,Night,2,9/24/2018,Matt,100,1,2,Bosminidae,4
MCD,2018-05-16,5,16,2018,Night,1,10/22/2018,Matt,100,1,2,Bosminidae,4
SB,2018-05-16,5,16,2018,Night,3,11/6/2018,Matt,100,1,3,Bosminidae,4
MCD,2018-05-16,5,16,2018,Night,3,11/6/2018,Matt,100,1,3,Bosminidae,4
SB,2018-05-16,5,16,2018,Night,2,11/6/2018,Matt,100,1,3,Bosminidae,5
MCD,2018-05-16,5,16,2018,Night,2,9/24/2018,Matt,100,1,1,Bosminidae,6
MCD,2018-05-16,5,16,2018,Night,3,11/6/2018,Matt,100,1,1,Bosminidae,6
MCD,2018-05-16,5,16,2018,Night,3,11/6/2018,Matt,100,1,2,Bosminidae,6
SB,2018-05-16,5,16,2018,Night,1,9/17/2018,Matt,100,1,1,Bosminidae,8
MCD,2018-05-23,5,23,2018,Night,3,9/24/2018,Matt,100,1,2,Bosminidae,5
MCD,2018-05-23,5,23,2018,Night,2,9/28/2018,Matt,100,1,1,Bosminidae,5
MCD,2018-05-23,5,23,2018,Night,2,9/28/2018,Matt,100,1,2,Bosminidae,5
MCD,2018-05-23,5,23,2018,Night,3,9/24/2018,Matt,100,1,3,Bosminidae,6
MCD,2018-05-23,5,23,2018,Night,2,9/28/2018,Matt,100,1,3,Bosminidae,6
SB,2018-05-23,5,23,2018,Night,3,10/18/2018,Matt,100,1,3,Bosminidae,6
MCD,2018-05-23,5,23,2018,Night,1,11/2/2018,Matt,100,1,2,Bosminidae,6
MCD,2018-05-23,5,23,2018,Night,1,11/2/2018,Matt,100,1,1,Bosminidae,7
SB,2018-05-23,5,23,2018,Night,1,10/22/2018,Matt,100,1,3,Bosminidae,8
SB,2018-05-23,5,23,2018,Night,3,10/18/2018,Matt,100,1,1,Bosminidae,9
MCD,2018-05-23,5,23,2018,Night,3,7/23/2018,Matt,100,1,1,Bosminidae,10
SB,2018-05-23,5,23,2018,Night,1,10/22/2018,Matt,100,1,1,Bosminidae,11
MCD,2018-05-23,5,23,2018,Night,1,11/2/2018,Matt,100,1,3,Bosminidae,12
SB,2018-05-23,5,23,2018,Night,3,10/18/2018,Matt,100,1,2,Bosminidae,13
SB,2018-05-23,5,23,2018,Night,1,10/22/2018,Matt,100,1,2,Bosminidae,14
SB,2018-05-23,5,23,2018,Night,2,9/17/2018,Matt,100,1,3,Bosminidae,16
SB,2018-05-23,5,23,2018,Night,2,9/17/2018,Matt,100,1,2,Bosminidae,21
SB,2018-05-23,5,23,2018,Night,2,9/17/2018,Matt,100,1,1,Bosminidae,33
MCD,2018-05-29,5,29,2018,Night,3,10/12/2018,Matt,100,1,3,Bosminidae,7
MCD,2018-05-29,5,29,2018,Night,3,10/12/2018,Matt,100,1,1,Bosminidae,9
MCD,2018-05-29,5,29,2018,Night,2,10/4/2018,Matt,100,1,1,Bosminidae,13
SB,2018-05-29,5,29,2018,Night,1,10/8/2018,Matt,100,1,3,Bosminidae,13
MCD,2018-05-29,5,29,2018,Night,3,10/12/2018,Matt,100,1,2,Bosminidae,13
MCD,2018-05-29,5,29,2018,Night,1,10/4/2018,Matt,100,1,1,Bosminidae,14
SB,2018-05-29,5,29,2018,Night,1,10/8/2018,Matt,100,1,2,Bosminidae,14
MCD,2018-05-29,5,29,2018,Night,2,10/4/2018,Matt,100,1,2,Bosminidae,16
MCD,2018-05-29,5,29,2018,Night,1,10/4/2018,Matt,100,1,3,Bosminidae,18
MCD,2018-05-29,5,29,2018,Night,2,10/4/2018,Matt,100,1,3,Bosminidae,21
SB,2018-05-29,5,29,2018,Night,2,10/11/2018,Matt,100,1,3,Bosminidae,22
MCD,2018-05-29,5,29,2018,Night,1,10/4/2018,Matt,100,1,2,Bosminidae,23
SB,2018-05-29,5,29,2018,Night,1,10/8/2018,Matt,100,1,1,Bosminidae,25
SB,2018-05-29,5,29,2018,Night,2,10/11/2018,Matt,100,1,2,Bosminidae,34
SB,2018-05-29,5,29,2018,Night,2,10/11/2018,Matt,100,1,1,Bosminidae,36
SB,2018-06-05,6,5,2018,Night,1,10/5/2018,Matt,100,1,1,Bosminidae,15
SB,2018-06-05,6,5,2018,Night,1,10/5/2018,Matt,100,1,2,Bosminidae,16
SB,2018-06-05,6,5,2018,Night,1,10/5/2018,Matt,100,1,3,Bosminidae,16
SB,2018-06-05,6,5,2018,Night,2,10/5/2018,Matt,100,1,3,Bosminidae,19
SB,2018-06-05,6,5,2018,Night,2,10/5/2018,Matt,100,1,1,Bosminidae,24
SB,2018-06-05,6,5,2018,Night,3,10/5/2018,Matt,100,1,3,Bosminidae,27
SB,2018-06-05,6,5,2018,Night,2,10/5/2018,Matt,100,1,2,Bosminidae,28
SB,2018-06-05,6,5,2018,Night,3,10/5/2018,Matt,100,1,1,Bosminidae,30
SB,2018-06-05,6,5,2018,Night,3,10/5/2018,Matt,100,1,2,Bosminidae,32
MCD,2018-06-05,6,5,2018,Night,1,7/23/2018,Matt,100,1,1,Bosminidae,70
MCD,2018-06-05,6,5,2018,Night,1,1/10/2019,Matt,100,1,2,Bosminidae,78
MCD,2018-06-05,6,5,2018,Night,1,1/10/2019,Matt,100,1,3,Bosminidae,94
MCD,2018-06-05,6,5,2018,Night,3,10/1/2018,Matt,100,1,3,Bosminidae,110
MCD,2018-06-05,6,5,2018,Night,2,10/24/2018,Matt,100,1,3,Bosminidae,114
MCD,2018-06-05,6,5,2018,Night,3,10/1/2018,Matt,100,1,1,Bosminidae,117
MCD,2018-06-05,6,5,2018,Night,3,10/1/2018,Matt,100,1,2,Bosminidae,117
MCD,2018-06-05,6,5,2018,Night,2,10/24/2018,Matt,100,1,1,Bosminidae,132
MCD,2018-06-05,6,5,2018,Night,2,10/24/2018,Matt,100,1,2,Bosminidae,136
SB,2018-06-07,6,7,2018,Night,2,1/6/2019,Matt,100,1,1,Bosminidae,10
SB,2018-06-07,6,7,2018,Night,1,1/2/2019,Matt,100,1,1,Bosminidae,13
SB,2018-06-07,6,7,2018,Night,2,1/6/2019,Matt,100,1,2,Bosminidae,13
SB,2018-06-07,6,7,2018,Night,1,1/2/2019,Matt,100,1,3,Bosminidae,15
SB,2018-06-07,6,7,2018,Night,1,1/2/2019,Matt,100,1,2,Bosminidae,17
SB,2018-06-07,6,7,2018,Night,2,1/6/2019,Matt,100,1,3,Bosminidae,19
SB,2018-06-07,6,7,2018,Night,3,1/11/2019,Matt,100,1,2,Bosminidae,28
SB,2018-06-07,6,7,2018,Night,3,1/11/2019,Matt,100,1,3,Bosminidae,28
SB,2018-06-07,6,7,2018,Night,3,1/11/2019,Matt,100,1,1,Bosminidae,31
MCD,2018-06-07,6,7,2018,Day,3,1/12/2019,Matt,100,1,1,Bosminidae,32
MCD,2018-06-07,6,7,2018,Day,3,1/12/2019,Matt,100,1,2,Bosminidae,37
MCD,2018-06-07,6,7,2018,Day,3,1/12/2019,Matt,100,1,3,Bosminidae,40
MCD,2018-06-07,6,7,2018,Day,2,1/2/2019,Matt,100,1,2,Bosminidae,75
MCD,2018-06-07,6,7,2018,Day,2,7/23/2018,Matt,100,1,1,Bosminidae,78
MCD,2018-06-07,6,7,2018,Day,1,1/9/2019,Matt,100,1,2,Bosminidae,93
MCD,2018-06-07,6,7,2018,Day,1,1/9/2019,Matt,100,1,3,Bosminidae,99
MCD,2018-06-07,6,7,2018,Day,1,1/9/2019,Matt,100,1,1,Bosminidae,103
MCD,2018-06-07,6,7,2018,Day,2,1/2/2019,Matt,100,1,1,Bosminidae,113
MCD,2018-06-12,6,12,2018,Night,2,1/10/2019,Matt,100,1,3,Bosminidae,9
MCD,2018-06-12,6,12,2018,Night,2,1/10/2019,Matt,100,1,2,Bosminidae,11
MCD,2018-06-12,6,12,2018,Night,3,1/11/2019,Matt,100,1,3,Bosminidae,11
MCD,2018-06-12,6,12,2018,Night,1,10/24/2018,Matt,100,1,1,Bosminidae,12
